State,Clinton (D),Trump (R),Others,Clinton %,Trump %,Others %,Dem '12 Margin,Dem '16 Margin,Margin Shift,Total '12 Votes,Total '16 Votes,Raw Votes vs. '12
Rhode Island,"252,278","180,502","30,965",54.40%,38.90%,6.70%,27.50%,15.50%,-12.00%,"446,049","463,745",4.00%
South Carolina,"855,373","1,155,389","92,265",40.70%,54.90%,4.40%,-10.50%,-14.30%,-3.80%,"1,964,118","2,103,027",7.10%
South Dakota,"117,442","227,701","24,904",31.70%,61.50%,6.70%,-18.00%,-29.80%,-11.80%,"363,815","370,047",1.70%
Tennessee,"869,189","1,521,162","100,448",34.90%,61.10%,4.00%,-20.40%,-26.20%,-5.80%,"2,458,577","2,490,799",1.30%
Texas,"3,868,291","4,683,352","383,075",43.30%,52.40%,4.30%,-15.80%,-9.10%,6.70%,"7,993,851","8,934,718",11.80%
Utah,"274,223","452,323","258,677",27.80%,45.90%,26.30%,-48.00%,-18.10%,30.00%,"1,017,440","985,223",-3.20%
Vermont,"178,573","95,369","41,125",56.70%,30.30%,13.10%,35.60%,26.40%,-9.20%,"299,290","315,067",5.30%
Virginia,"1,981,473","1,769,443","231,836",49.80%,44.40%,5.80%,3.90%,5.30%,1.50%,"3,854,489","3,982,752",3.30%
Washington,"1,708,852","1,198,334","237,899",54.30%,38.10%,7.60%,14.90%,16.20%,1.40%,"3,125,516","3,145,085",0.60%
West Virginia,"187,457","486,198","34,571",26.50%,68.70%,4.90%,-26.80%,-42.20%,-15.40%,"670,438","708,226",5.60%
Wyoming,"55,973","174,419","25,457",21.90%,68.20%,10.00%,-40.80%,-46.30%,-5.50%,"249,061","255,849",2.70%
